,Name,W,W,SO,SO,SVHLD,SVHLD,WHIP,WHIP,ERA,ERA,ER,ER,BB,BB,H,H,W_sharpe,SO_sharpe,WHIP_sharpe,ERA_sharpe,SVHLD_sharpe,Total_sharpe
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,,,,
63,Kris Bubic,9.0,1.1547005383792517,135.57142857142858,5.287001130355556,1.0,0.0,1.2614285714285713,0.03804758924845372,3.807142857142857,0.15923926292577117,59.42857142857143,4.8941169737125145,46.0,4.242640687119286,131.71428571428572,10.796824930109246,3.464101615137754,12.402385956558108,0.0375469630741294,-0.543880581119711,1.0,21.372821189741448
64,Chris Bassitt,11.0,0.0,158.25,4.645786621588784,1.0,0.0,1.3250000000000002,0.005773502691896306,4.205,0.11676186592091337,81.75,4.349329450233296,60.5,0.5773502691896257,172.0,6.97614984548545,11.0,18.995706688272293,11.258330249197638,2.665681963414494,1.0,21.07169447566016
65,Adrian Morejon,5.375,1.9955307206712847,68.0,3.0237157840738185,16.5,1.4142135623730951,1.18,0.031167748898959194,3.35125,0.2110813993293988,25.25,1.4880476182856899,21.625,1.846811924835414,58.5,2.3904572186687867,0.18791993333675777,-0.6614378277661475,-2.566755791678993,-2.570098557824191,2.9565902288362556,19.446287599255072
66,Logan Allen,6.75,0.4999999999999999,99.25,1.5,1.0,0.0,1.395,0.02081665999466125,4.39,0.23021728866442687,59.5,3.872983346207417,47.0,0.816496580927726,123.75,3.5939764421413036,3.500000000000001,19.5,6.4851902291060535,2.15557225471173,1.0,19.35923751618222
67,Hogan Harris,2.875,0.6408699444616557,67.0,9.380831519646858,20.125,1.2464234547582236,1.39625,0.01995530720671281,4.37375,0.2541055742346927,33.5,4.208834246473211,32.75,5.092010548749034,63.375,7.9988838507096,-3.3158053648233494,-0.3198010745334157,6.827757577902211,1.8889786319943966,6.262919692500677,18.96225581325001
68,Juan Mejia,2.75,0.7071067811865476,68.625,1.9226098333849668,16.75,0.7071067811865475,1.425,0.04276179870598787,4.5825000000000005,0.14616526849524059,33.375,1.1877349391654215,30.75,0.7071067811865472,62.875,2.7483761439387098,-3.181980515339464,-0.7151737061383696,3.858584180110631,4.712131733418104,6.266733848265786,18.865799106322363
69,Bryan Abreu,3.75,0.7071067811865475,90.75,2.7124053637210745,19.25,5.1199888392735495,1.16625,0.02445841952609134,3.1075,0.3448705761379394,23.375,2.669269563007828,28.75,0.7071067811865474,51.0,1.7728105208558362,-1.7677669529663689,7.650036486999732,-3.8330358958799837,-2.2798407704272226,1.353762716596751,18.763959783324324
70,Clayton Beeter,2.75,0.7071067811865475,73.75,3.1959796173138693,24.25,2.4348657927227597,1.35125,0.024164614034338904,3.92875,0.2072567420926449,27.875,2.1001700611413074,33.75,1.9086270308410553,52.375,2.6692695630078274,-3.1819805153394642,1.1733491602026453,3.776182804754509,0.16887267283375007,4.9001674078545525,18.547150206547684
71,Griffin Canning,7.5,1.0,111.5,1.2909944487358056,1.0,0.0,1.3650000000000002,0.005773502691896284,4.515,0.1828478420253662,63.25,0.9574271077563381,48.0,2.160246899469287,123.75,3.774917217635375,2.5,32.14576177352156,18.186533479473162,3.397633754484315,1.0,18.061594539564087
72,Luke Weaver,3.75,0.46291004988627565,72.5,2.203892660077361,18.875,1.7268882005337967,1.22,0.04472135954999585,4.005,0.22734492359785446,30.25,1.9820624179302295,22.625,1.0606601717798212,60.125,2.474873734152915,-2.700308624336609,1.1343565162162867,-0.8944271909999155,0.4893445529348515,3.7965688791975127,17.821974925932306
