,Name,W,W,SO,SO,WHIP,WHIP,ERA,ERA,ER,ER,BB,BB,H,H,IP,IP,W_sharpe,SO_sharpe,WHIP_sharpe,ERA_sharpe,Total_sharpe
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,,,
63,Clay Holmes,10.25,0.4629100498862758,118.625,7.872873862646527,1.35,0.025071326821120243,3.955,0.10056980518170293,64.875,3.870677312453578,55.125,5.330170192940773,144.5,8.315218406202996,147.375,7.06980500842441,7.020802423275181,2.6102285338904148,2.792034123261144,-1.9134719377482747,8.752468771652726
64,Drew Rasmussen,9.5,0.9258200997725514,139.5,15.955294687702528,1.1875,0.04743416490252569,3.75875,0.27771709654662197,65.375,6.947507261087038,41.5,4.4077853201547175,144.5,14.918827989203061,156.4,11.210709165793219,2.7003086243366083,2.5963168221473305,-1.9500712237705013,-1.3995807418170543,8.646277412071495
65,Tyler Glasnow,8.5,2.267786838055364,148.75,12.429802894656055,1.1975,0.036547425158474436,3.7575,0.2437064979495975,53.875,4.940720016932176,48.375,4.373213921133975,106.625,10.070288689293585,128.98749999999998,10.42777027255313,0.6614378277661475,4.076894897648515,-2.257340965670473,-1.6000291468660195,8.595702837951155
66,Eury Pérez,8.125,0.8345229603962804,148.375,22.44954660693937,1.18,0.02672612419124244,3.95125,0.16383244925402127,60.25,6.088631091750309,46.375,6.1164298643664905,115.875,13.705447300773724,137.375,15.873945409290746,1.3480755514093754,2.2405797711946573,-3.7416573867739444,-1.197488659257069,8.527801368635046
67,Emmet Sheehan,8.75,1.7525491637693285,156.625,25.35427549180386,1.165,0.03422613871631687,3.83,0.2067434573157205,57.125,8.391109240482708,46.75,7.304597378168277,110.375,18.461833216511454,134.5625,20.46299360169125,0.9985454537755473,2.309275215492833,-3.3600050812969804,-1.5354173917834646,8.203243142348825
68,Casey Mize,8.875,0.6408699444616557,124.625,7.689278249614849,1.25875,0.016420805617960946,4.12125,0.09187530369240385,65.75,4.267819784654185,39.875,2.5319388392523,140.625,8.21040280898047,143.225,7.942246893309577,2.9257106160206026,3.4528598313281074,-1.294089979163806,-0.28503307142989026,7.957693497942406
69,Sandy Alcantara,10.375,0.9161253813129044,146.375,12.637105229103241,1.2625,0.04621378891320528,4.145,0.1895106480234968,82.125,5.276294695549683,52.625,4.688511795564011,172.875,12.933207534979754,178.5625,10.32153608446229,3.683993554641253,3.8220778512443783,-0.3786748589878023,-0.012862074112573743,7.897608338986007
70,Justin Steele,5.75,1.0350983390135313,79.5,17.113069358158484,1.1775,0.02659215781283756,3.58125,0.09046506823867755,33.625,7.269063606427289,22.75,5.11998883927355,77.25,17.425350990521174,84.5875,18.7257223778264,-1.20761472884912,-1.0854277284363687,-3.854519844588069,-6.258631215600315,7.820108602902895
71,Zebby Matthews,6.75,0.46291004988627593,115.25,4.713203338949604,1.2225,0.014880476182856942,4.0275,0.14200100603265348,52.0,4.070801956792856,28.625,1.8468119248354151,112.75,5.1199888392735495,115.8875,5.556318796778001,-0.5400617248673214,3.6440184657570223,-3.8641236539354167,-0.8446242977491293,7.812704692574246
72,Spencer Schwellenbach,6.125,0.8345229603962804,85.5,16.518388022356866,1.12,0.041403933560541194,3.54625,0.10662852740773875,34.0,5.9281411203561225,18.125,3.226563851175781,79.125,15.056441431209054,86.7125,17.19571686704072,-1.0485032066517364,-0.7612728301926504,-3.864367132317187,-5.638148763896061,7.692739859368862
73,Shane McClanahan,8.25,1.0350983390135313,133.375,13.896942109687295,1.18125,0.044219420426517775,3.66625,0.2988997681975874,52.125,6.3344297296599645,37.625,6.139741734912681,113.875,11.789068786682977,128.15,13.148818523784886,1.20761472884912,2.5401271532528766,-2.233181689120039,-1.609862406055502,7.5907859772775375
