#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP	Vol	Skew	Dim
88	Brandon Nimmo	TEX	144	624	551	138	25	3	22	79	73	59	137	9	9	2	.250	.329	.422	.751	.328	112	-0.3	0.6	8.2	-7.2	2.3	153.1	3.34	0.10	4.52
89	Ben Rice	NYY	131	539	473	117	23	2	27	74	75	53	114	8	4	2	.247	.331	.472	.803	.346	122	-0.9	-1.2	13.2	-9.0	2.3	49.4	2.15	0.66	4.09
90	George Springer	TOR	131	568	500	130	22	2	24	82	71	58	110	7	14	3	.260	.342	.457	.799	.346	123	0.7	-1.3	16.4	-13.5	2.3	97.0	3.01	-1.42	4.64
91	Xavier Edwards	MIA	134	578	520	144	23	4	4	69	44	48	83	3	27	6	.277	.339	.356	.695	.308	95	2.2	2.3	-1.2	4.4	2.3	184.7	2.10	-0.33	2.61
92	Trent Grisham	NYY	127	526	450	99	17	1	24	71	63	67	132	5	5	2	.220	.326	.421	.747	.327	109	-0.5	-2.8	5.3	-0.8	2.3	264.5	1.41	-0.41	3.81
93	Jackson Holliday	BAL	128	550	487	121	24	2	14	72	54	55	122	5	14	5	.248	.328	.394	.722	.317	105	0.0	-1.7	2.9	0.4	2.3	143.9	3.00	-0.52	4.25
94	Kazuma Okamoto	TOR	127	527	467	114	23	0	23	62	71	49	97	7	2	1	.244	.322	.439	.761	.328	111	-0.9	-0.2	6.0	-2.0	2.3	999.0	2.61	-0.06	4.20
95	Dillon Dingler	DET	110	416	381	92	19	2	12	45	49	26	105	6	1	1	.242	.300	.394	.694	.302	92	-0.5	3.6	-4.3	12.0	2.3	240.6	1.82	-0.80	4.37
96	Bo Naylor	CLE	121	449	395	86	19	1	17	51	52	46	112	2	4	2	.218	.301	.398	.700	.305	96	-0.5	-0.2	-2.7	9.2	2.2	605.5	1.16	2.42	4.33
97	Ceddanne Rafaela	BOS	141	558	520	131	28	4	16	70	63	26	121	7	20	6	.252	.294	.412	.706	.305	90	1.4	5.2	-5.1	7.3	2.2	139.5	2.84	-0.26	4.25
98	Ryan Jeffers	MIN	127	504	444	108	22	1	16	58	57	47	106	9	2	1	.243	.326	.403	.729	.320	104	-1.1	-1.9	1.4	2.6	2.2	325.8	2.77	-2.09	4.73
99	Trevor Story	BOS	136	576	531	132	26	1	20	72	72	35	157	5	23	5	.248	.300	.414	.714	.308	93	1.7	-1.5	-3.3	4.8	2.2	105.3	3.49	1.61	4.17
100	Isaac Paredes	HOU	115	489	421	101	18	1	19	60	62	55	83	10	1	1	.241	.341	.427	.767	.336	117	-1.1	1.1	8.5	-4.1	2.2	214.0	3.39	-0.73	4.44
101	Jakob Marsee	MIA	132	571	494	117	23	4	12	71	56	63	125	7	33	9	.237	.330	.375	.705	.313	98	2.4	-0.5	1.4	0.9	2.2	150.8	1.62	-0.21	2.98
102	Salvador Perez	KCR	141	576	533	133	25	1	26	60	88	29	118	10	0	0	.251	.300	.447	.747	.318	103	-2.8	1.6	-0.5	2.1	2.2	97.6	2.69	0.71	3.57
103	Austin Wells	NYY	119	448	400	89	19	1	18	50	58	37	111	5	4	1	.222	.292	.409	.701	.303	93	-0.3	0.9	-3.9	9.8	2.1	245.0	1.05	0.08	4.26
104	Brandon Lowe	PIT	125	534	481	116	23	1	23	68	72	44	137	4	4	1	.242	.308	.437	.746	.321	104	-0.8	0.0	1.7	1.5	2.1	191.8	3.76	-0.26	4.26
105	Mike Trout	LAA	119	511	431	101	17	2	25	67	65	70	153	6	3	1	.235	.347	.454	.801	.344	121	-1.0	0.7	11.4	-8.2	2.1	171.5	3.01	0.50	4.12
106	Otto Lopez	MIA	135	556	511	135	25	3	11	62	60	38	85	3	15	5	.265	.318	.390	.708	.309	96	0.5	-1.8	-2.2	4.5	2.1	233.5	2.59	-0.07	3.96
107	Randy Arozarena	SEA	152	654	566	132	26	2	23	85	73	64	171	19	24	7	.233	.329	.405	.734	.323	114	-0.2	-4.9	10.2	-12.1	2.1	92.2	2.02	0.46	3.51
108	Josh Naylor	SEA	144	607	546	143	27	0	22	73	87	50	90	5	17	4	.261	.327	.431	.758	.326	116	0.0	0.1	11.1	-11.4	2.1	66.6	3.67	0.19	4.45
109	Lawrence Butler	ATH	135	556	502	121	25	2	21	72	65	48	145	1	18	4	.241	.306	.423	.730	.316	102	1.3	2.9	2.5	-0.8	2.1	151.6	2.43	0.91	4.25
110	Kyle Teel	CHW	115	463	405	100	18	1	13	55	48	50	118	4	7	2	.248	.334	.393	.727	.321	105	-0.6	-1.6	2.2	2.5	2.1	185.0	1.96	-1.30	4.44
111	Jarren Duran	BOS	140	607	547	142	34	7	17	81	69	49	142	7	23	5	.260	.327	.438	.766	.331	108	3.0	-0.7	9.1	-9.7	2.1	69.7	2.82	-0.01	4.08
112	Colton Cowser	BAL	128	515	455	103	22	1	21	65	62	49	162	7	13	3	.227	.310	.416	.726	.316	103	0.6	-2.2	2.7	-0.3	2.1	267.6	3.32	-0.46	4.12
113	Alec Bohm	PHI	134	565	518	141	26	2	14	64	71	37	89	5	3	1	.273	.323	.412	.735	.319	102	-1.0	-0.7	0.6	0.7	2.1	285.1	2.34	-0.45	3.82
114	Andrés Giménez	TOR	139	558	505	123	23	2	11	63	55	31	98	14	20	4	.244	.305	.361	.666	.293	87	1.4	1.6	-7.2	8.0	2.1	472.4	1.95	1.05	3.85
115	Iván Herrera	STL	127	536	467	125	22	1	17	67	65	53	108	11	9	3	.267	.353	.426	.779	.341	119	-0.1	-0.6	12.0	-10.2	2.0	158.9	2.47	0.78	4.34
116	Wilyer Abreu	BOS	125	505	447	110	24	1	22	64	70	51	125	2	8	3	.246	.324	.451	.775	.333	110	-0.3	3.1	5.4	-2.8	2.0	220.0	1.88	-1.01	4.54
117	Francisco Alvarez	NYM	114	438	389	91	15	1	20	52	58	40	113	6	1	0	.233	.312	.429	.740	.321	105	-0.8	-3.5	2.0	3.2	2.0	177.9	2.16	0.32	4.32
118	Daulton Varsho	TOR	134	543	491	110	22	3	26	70	74	43	141	4	8	2	.223	.288	.440	.728	.312	100	0.0	-1.0	0.0	1.1	2.0	211.2	2.80	0.20	3.65
119	Luis Robert Jr.	NYM	126	517	469	110	20	1	19	66	61	39	145	5	29	7	.234	.297	.405	.702	.303	93	1.1	2.9	-3.1	4.6	1.9	106.4	2.96	-2.29	3.43
120	Colson Montgomery	CHW	130	549	491	107	19	2	23	61	70	47	162	9	2	1	.219	.296	.404	.700	.305	94	-0.6	-1.1	-4.6	5.0	1.9	229.2	3.57	-1.43	3.70
121	Willson Contreras	BOS	133	562	489	123	25	1	22	70	74	52	142	17	5	1	.251	.342	.441	.783	.342	116	-1.3	1.1	9.1	-9.8	1.9	173.9	1.70	1.05	4.39
122	Jonathan Aranda	TBR	136	565	495	129	24	1	20	69	74	56	142	9	2	1	.261	.344	.434	.779	.339	117	-2.2	1.5	9.3	-9.8	1.9	188.9	3.01	0.69	4.15
123	Konnor Griffin	PIT	89	372	338	87	16	1	10	49	42	23	91	8	17	4	.257	.316	.396	.712	.311	97	0.7	2.7	-0.8	6.9	1.9	999.0	3.82	0.44	3.55
124	Carson Kelly	CHC	97	370	328	77	13	1	12	41	43	34	75	4	2	0	.234	.312	.385	.697	.307	95	-1.0	2.7	-3.0	9.0	1.9	591.3	1.24	-0.38	4.27
125	Joey Ortiz	MIL	138	541	492	118	24	3	10	60	54	37	94	4	13	4	.240	.297	.364	.661	.290	85	0.5	3.1	-9.1	9.5	1.9	735.5	3.64	1.00	4.28
126	Kevin McGonigle	DET	78	323	285	72	16	2	10	41	39	33	47	2	6	2	.253	.331	.426	.757	.329	111	-0.2	0.9	3.9	3.1	1.8	999.0	3.55	-1.04	3.79
127	Jeff McNeil	ATH	132	535	476	122	26	3	12	60	57	44	68	9	4	1	.257	.328	.398	.727	.317	103	-1.4	-1.5	0.2	-0.3	1.8	685.7	2.76	1.56	4.37
128	Vinnie Pasquantino	KCR	147	630	566	147	31	1	26	73	93	52	93	6	1	0	.259	.324	.456	.780	.334	114	-1.9	-0.3	8.8	-12.3	1.8	80.3	2.46	0.32	3.63
129	Miguel Vargas	CHW	137	576	505	118	28	2	18	71	66	59	111	6	7	2	.233	.319	.405	.723	.316	102	-0.5	-3.8	0.9	-2.6	1.8	319.4	3.38	0.21	4.33
130	Ozzie Albies	ATL	141	592	538	134	27	2	17	69	71	43	88	5	11	3	.249	.308	.405	.713	.310	97	0.1	-2.2	-1.9	-0.1	1.8	162.3	1.77	-0.93	4.73
131	Matt Wallner	MIN	117	480	414	94	21	2	24	60	63	51	148	12	5	2	.226	.326	.461	.787	.340	118	-0.8	-2.5	9.5	-8.2	1.8	422.6	2.68	-1.26	4.05
132	JJ Wetherholt	STL	119	485	429	106	21	1	10	55	47	45	86	7	11	2	.247	.326	.371	.697	.309	97	0.1	1.1	-1.9	3.1	1.8	999.0	2.39	-0.13	4.19
133	Hunter Goodman	COL	138	558	515	130	29	3	28	71	86	34	146	6	2	1	.253	.304	.480	.784	.335	101	-0.8	-5.2	-0.1	-1.1	1.8	67.0	3.92	-0.07	3.79
134	Caleb Durbin	BOS	135	539	480	122	26	2	10	64	55	35	58	16	21	6	.254	.324	.381	.705	.311	95	1.1	-1.0	-2.3	1.1	1.8	244.0	1.65	1.20	3.76
135	Christian Yelich	MIL	135	577	506	131	22	1	19	74	74	64	138	4	16	4	.258	.344	.419	.764	.332	114	1.2	0.4	10.8	-12.7	1.8	127.8	3.54	-0.86	4.68
136	Jake Cronenworth	SDP	142	580	498	117	25	2	14	64	61	62	115	12	4	2	.235	.331	.377	.708	.314	100	-0.7	-3.4	-0.5	-2.0	1.8	999.0	2.89	-0.43	4.62
137	Brenton Doyle	COL	138	563	518	129	24	3	18	70	64	35	150	3	21	5	.249	.298	.414	.711	.307	83	1.5	6.4	-10.2	8.5	1.7	164.5	3.46	0.00	4.23
138	TJ Friedl	CIN	134	577	498	120	20	3	13	69	55	58	97	12	11	3	.242	.333	.374	.707	.314	96	0.3	0.5	-2.4	0.1	1.7	262.7	2.98	0.67	4.43
