,Name,W,W,SO,SO,WHIP,WHIP,ERA,ERA,W_sharpe,SO_sharpe,WHIP_sharpe,ERA_sharpe,Total_sharpe
,,mean,std,mean,std,mean,std,mean,std,,,,,
107,Mike Burrows,6.375,1.7677669529663689,126.625,9.303417190934276,1.2575,0.029640705601780663,4.155,0.18431339769921412,-0.35355339059327373,3.068764886500047,-0.7590912410212083,0.0410306580769675,3.433272078851014
108,Matthew Liberatore,8.125,0.8345229603962803,120.0,6.187545093630776,1.31125,0.03270539492412315,4.3675,0.22288690277486362,1.3480755514093756,3.5434085195708347,0.955499851706433,0.9873280899877886,2.9486561292859887
109,Michael McGreevy,8.5,0.7559289460184544,100.625,4.749060057376769,1.2725,0.03105295017040594,4.11625,0.1867723977771571,1.984313483298443,0.5369483580311998,-0.241522945769826,-0.16698131185963733,2.929766098959106
110,Kodai Senga,7.125,0.8345229603962802,118.5,5.503245795502351,1.3262500000000002,0.01846811924835419,3.97625,0.16749733473359263,0.14978617237881953,3.711446073641267,2.504315646766346,-1.022031187972492,2.3789477872262323
111,Parker Messick,6.875,0.3535533905932738,110.875,5.890367439424183,1.29125,0.02474873734152919,4.06875,0.10696294418428924,-0.35355339059327373,2.173039310642951,0.45456864504849365,-0.7356519643328747,2.1005692393340585
112,Zack Littell,8.75,1.0350983390135309,121.875,8.253787009609589,1.25875,0.02232071427428541,4.61625,0.1310329838519401,1.6906606203887686,2.883524856201223,-0.952030465462347,3.577820532040483,1.9483954100118561
113,Zach Eflin,8.375,1.060660171779821,105.875,13.798938882599426,1.2525,0.013887301496588225,4.4575,0.15116216457830942,1.2963624321753375,0.5652608556615809,-1.9802263245135252,2.051191188383468,1.7906584239669758
114,Seth Lugo,8.5,0.7559289460184544,127.75,8.49789889998026,1.345,0.027774602993176526,4.55375,0.28490286565273937,1.984313483298443,3.4920396617179033,2.34026747442506,1.4261439563589506,1.7099417142323354
115,Slade Cecconi,7.5,0.7559289460184544,122.625,9.241791724861272,1.2675,0.02434865792722758,4.50625,0.16370160135354297,0.6614378277661477,2.6564113032279493,-0.5133753177427487,2.191869212232567,1.6393552365042785
116,Ryan Weathers,7.125,1.1259916264596033,114.125,16.668511802626103,1.27125,0.02948970764763302,4.14875,0.23399862636959456,0.11101325894672145,0.9628933998457712,-0.29671369091047434,0.005609007285055559,1.3650113424179113
117,Dustin May,7.875,1.1259916264596033,126.75,14.743037097462071,1.29875,0.04911720676097131,4.28,0.13255726525328043,0.7770928126270502,1.9449859489898622,0.3817399489194661,1.0000394904550132,1.340299322242433
118,Luis Severino,9.125,0.9910312089651148,136.625,13.201055152632955,1.34125,0.02587745847533829,4.65375,0.27989475062703695,2.1442311612154303,2.920221115227384,2.3669248685442756,1.8089388917288673,0.8885885161696716
119,Connelly Early,4.5,2.3804761428476167,70.25,26.512575632455377,1.2325,0.035939764421413105,3.6500000000000004,0.3102687007525359,-1.0502100630210074,-1.0495019565710548,-1.32165585291648,-1.6032474393759284,0.8251912727003459
120,Corbin Burnes,3.75,2.9640705601780613,50.125,37.97532093346941,1.2175,0.04267819784654189,3.63375,0.31811666772697456,-1.0964651259195266,-1.2626621400779112,-1.4644479653225146,-1.6147770680185638,0.7200977673436406
121,Roki Sasaki,7.0,0.9258200997725516,115.375,13.66891677179599,1.2875,0.039551051999734625,4.1825,0.057507763451058125,0.0,1.2656452803704448,0.18962833150557878,0.6097002890721062,0.4663166597927597
122,Tyler Mahle,7.375,1.1877349391654206,105.75,17.293681752924346,1.2862500000000001,0.023260942125619695,4.1575,0.20225514296833808,0.31572700914523844,0.4438037029739012,0.26869075062597375,0.04975151609160967,0.4410884454015563
123,Nick Martinez,8.25,1.8322507626258087,107.75,6.692212958783836,1.30375,0.038149143409218836,4.5175,0.316803228699276,0.6822210286372691,1.4457101200434948,0.6225565734265135,1.1681146733238648,0.3372599019303857
124,Landen Roupp,7.25,0.7071067811865475,113.75,9.587938851941612,1.34,0.021380899352994014,4.005,0.15250292737237137,0.3535533905932738,1.6348664965490196,2.8062430400804503,-0.9339984645160646,0.11617531157790761
125,Foster Griffin,6.125,0.991031208965115,114.5,13.94888628426759,1.28125,0.015526475085203007,4.17875,0.15141593613053322,-0.8829187134416476,1.1775133630937356,0.08050764858993942,0.20679791572933445,0.007289085332814055
126,Simeon Woods Richardson,6.375,0.5175491695067655,110.25,3.1959796173138706,1.32375,0.03159452936370925,4.42875,0.19149319271750279,-1.2076147288491201,3.809473606791257,1.3847333978727647,1.4690469985270025,-0.25192151845763044
127,Sean Burke,6.875,0.35355339059327373,130.875,4.733995594179856,1.3875,0.03150963571444678,4.7375,0.16654042838216293,-0.3535533905932738,6.928608053696863,3.41165480217572,3.543058617850883,-0.37965875692301454
