#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP	Vol	Skew	Dim
77	Kodai Senga	NYM	23	30	134.2	9	7	8	0	0	117	59	16	140	58	1.30	9.36	3.90	3.94	4.05	1.8	1.9	223.5	3.75	0.35	3.96
78	Taj Bradley	MIN	24	30	139.0	7	8	10	0	0	133	68	20	135	49	1.31	8.72	3.18	4.40	4.19	1.8	1.1	492.5	3.01	0.51	3.83
79	Jacob Misiorowski	MIL	25	30	139.0	9	7	9	0	0	114	63	18	157	63	1.27	10.18	4.11	4.06	4.10	1.8	1.8	114.1	2.94	-0.36	3.87
80	Foster Griffin	WSN	22	28	130.0	7	7	9	0	0	124	60	16	118	42	1.28	8.17	2.90	4.15	4.04	1.8	1.6	999.0	4.00	1.16	4.47
81	Shane Smith	CHW	28	28	157.0	8	9	10	0	0	140	72	21	154	58	1.26	8.82	3.31	4.11	4.24	1.7	2.0	245.5	3.86	-1.66	3.93
82	Tyler Mahle	SFG	23	23	129.2	7	8	9	0	0	124	58	16	107	41	1.27	7.46	2.82	4.01	4.10	1.7	1.8	322.7	2.57	-3.99	4.54
83	Tatsuya Imai	HOU	26	26	151.0	8	7	11	0	0	136	71	20	150	63	1.31	8.92	3.73	4.25	4.27	1.7	1.4	999.0	6.75	-0.52	3.69
84	Michael McGreevy	STL	24	28	137.2	8	8	10	0	0	143	63	16	94	33	1.27	6.15	2.14	4.13	4.06	1.7	1.7	715.4	2.48	0.85	4.33
85	Gerrit Cole	NYY	19	19	112.2	7	5	9	0	0	101	50	16	114	34	1.19	9.12	2.70	3.96	3.95	1.7	1.6	232.9	1.73	0.24	4.53
86	Brandon Pfaadt	ARI	28	28	162.2	10	10	11	0	0	168	81	24	143	38	1.27	7.90	2.09	4.48	4.12	1.7	1.5	588.6	4.08	1.01	3.28
87	Trey Yesavage	TOR	20	25	108.1	7	5	7	0	0	90	46	13	121	45	1.25	10.07	3.76	3.83	3.83	1.7	1.6	194.3	2.66	0.52	4.61
88	Matthew Liberatore	STL	28	28	151.1	8	10	10	0	0	151	73	20	124	46	1.31	7.41	2.77	4.35	4.23	1.7	1.5	410.2	3.23	1.06	3.84
89	Sean Manaea	NYM	20	36	125.2	7	7	8	0	0	111	58	18	132	38	1.19	9.45	2.75	4.13	3.99	1.7	1.4	423.4	3.29	0.41	4.27
90	Cade Horton	CHC	23	23	128.0	9	7	8	0	0	116	56	16	111	40	1.23	7.78	2.84	3.91	4.14	1.7	2.0	177.7	5.83	-0.70	4.31
91	Grayson Rodriguez	LAA	17	17	96.2	7	6	8	0	0	89	43	13	102	33	1.26	9.49	3.03	3.98	3.84	1.7	1.3	397.1	3.41	0.96	4.78
92	Cade Cavalli	WSN	24	24	135.1	7	8	9	0	0	135	64	16	114	48	1.35	7.58	3.22	4.23	4.21	1.7	1.6	305.2	3.75	0.36	4.00
93	Landen Roupp	SFG	23	27	120.2	7	7	8	0	0	115	55	13	112	48	1.35	8.38	3.60	4.07	3.95	1.6	1.6	690.1	2.91	3.25	4.19
94	Reynaldo López	ATL	23	29	130.1	8	7	9	0	1	122	57	16	128	45	1.29	8.86	3.14	3.95	3.94	1.6	1.9	302.9	3.54	0.62	4.28
95	Ryne Nelson	ARI	27	32	157.1	9	7	11	0	0	156	74	21	130	43	1.26	7.44	2.47	4.22	4.15	1.6	1.9	251.4	2.27	-1.10	3.95
96	Jameson Taillon	CHC	25	25	145.2	10	9	11	0	0	145	71	24	113	34	1.23	6.99	2.12	4.38	4.49	1.6	1.4	504.5	4.21	-1.02	3.75
97	Braxton Garrett	MIA	17	23	100.1	5	5	6	0	1	99	45	12	90	24	1.22	8.05	2.11	4.02	3.80	1.6	1.4	604.1	2.42	0.18	4.60
98	Dustin May	STL	24	29	142.2	8	10	10	0	0	133	68	18	128	53	1.31	8.05	3.35	4.30	4.25	1.6	1.4	414.7	2.77	0.22	3.93
99	Adrian Houser	SFG	25	25	141.0	7	8	9	0	0	147	68	15	102	47	1.38	6.51	3.01	4.34	4.24	1.6	1.4	743.2	2.14	0.79	3.73
100	Joey Cantillo	CLE	20	40	129.1	7	7	7	0	1	114	56	15	135	55	1.31	9.43	3.85	3.91	3.95	1.6	1.6	270.8	1.97	0.65	4.17
101	Steven Matz	TBR	20	30	119.1	6	6	6	0	1	119	55	16	99	32	1.27	7.47	2.43	4.12	4.17	1.6	1.4	713.0	2.89	0.84	4.84
102	Noah Cameron	KCR	26	26	150.2	9	8	11	0	0	147	71	21	127	49	1.30	7.60	2.95	4.24	4.37	1.6	1.7	298.0	4.23	-2.73	3.80
103	Simeon Woods Richardson	MIN	26	30	139.0	7	7	7	0	0	135	71	20	125	53	1.35	8.10	3.44	4.58	4.44	1.6	0.9	664.0	3.59	0.88	3.58
104	Shane Bieber	TOR	15	19	93.1	6	5	7	0	0	87	39	12	87	22	1.17	8.42	2.16	3.71	3.74	1.6	1.5	474.0	1.23	0.94	4.29
105	Chad Patrick	MIL	26	26	140.1	7	8	9	0	0	134	68	22	133	47	1.29	8.50	3.03	4.34	4.42	1.5	1.3	288.6	1.96	-0.60	4.02
106	Justin Verlander	DET	23	23	131.1	7	8	9	0	0	129	64	19	110	42	1.30	7.55	2.87	4.41	4.44	1.5	1.1	658.8	1.58	1.33	4.15
107	Zebby Matthews	MIN	18	28	105.1	6	6	6	0	0	103	48	15	104	27	1.23	8.89	2.33	4.10	3.92	1.5	1.2	488.6	4.87	1.82	4.75
108	Parker Messick	CLE	23	23	123.0	7	7	9	0	0	118	55	15	112	40	1.29	8.18	2.95	4.01	4.05	1.5	1.5	294.2	1.90	-0.07	4.53
109	Jeffrey Springs	ATH	28	28	160.2	10	10	11	0	0	159	81	27	137	51	1.31	7.69	2.86	4.56	4.63	1.5	1.1	722.3	2.92	0.40	3.16
110	Bryce Miller	SEA	25	25	141.0	9	8	9	0	0	129	65	21	126	41	1.21	8.07	2.63	4.18	4.29	1.5	1.1	341.6	3.45	-0.93	4.16
111	Eduardo Rodriguez	ARI	23	27	131.0	8	8	8	0	0	132	64	18	117	47	1.37	8.05	3.20	4.41	4.27	1.5	1.3	738.2	2.30	0.11	3.70
112	Seth Lugo	KCR	26	26	156.1	9	9	12	0	0	155	77	23	133	51	1.32	7.64	2.96	4.41	4.49	1.5	1.4	493.1	4.33	-0.69	3.45
113	Kyle Freeland	COL	28	28	159.0	7	12	10	0	0	184	91	26	117	42	1.42	6.61	2.37	5.12	4.70	1.5	1.4	999.0	2.99	-1.87	2.40
114	Luis Severino	ATH	28	28	166.1	9	10	11	0	0	169	85	24	134	53	1.33	7.26	2.86	4.61	4.57	1.4	1.0	642.5	3.43	-0.55	3.05
115	Zach Eflin	BAL	25	29	145.2	9	9	10	0	0	153	72	24	113	28	1.24	7.01	1.72	4.42	4.35	1.4	1.0	395.2	2.09	2.49	3.80
116	Mike Burrows	HOU	24	29	130.0	7	7	7	0	0	119	59	20	126	45	1.26	8.72	3.15	4.12	4.32	1.4	1.4	237.9	1.23	-1.56	4.45
117	Zack Littell	WSN	25	26	144.1	8	9	10	0	0	150	72	24	108	30	1.25	6.75	1.88	4.49	4.54	1.4	1.2	709.4	3.57	-0.57	3.91
118	Max Meyer	MIA	23	27	127.2	6	8	8	0	0	125	61	18	117	42	1.31	8.26	2.98	4.32	4.22	1.4	1.4	281.5	3.84	0.39	4.25
