i#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
552	Jonathan Bowlan	PHI	8	42	80.1	4	5		0	10	79	40	12	77	28	1.33	8.63	3.14	4.48	4.32	0.5	0.4	999.0
553	Landon Harper	ATL	12	24	89.1	5	6		0	0	94	46	14	65	23	1.31	6.55	2.32	4.64	4.52	0.5	0.5	999.0
554	Jack Kochanowicz	LAA	24	25	125.0	6	9		0	1	134	73	17	77	46	1.44	5.54	3.31	5.26	5.04	0.5	-0.1	999.0
555	Hunter Patteson	KCR	18	22	94.2	4	5		0	0	102	53	14	64	31	1.40	6.08	2.95	5.04	4.78	0.5	0.3	999.0
556	Eduard Bazardo	SEA	0	59	66.0	3	3		1	14	56	26	7	67	22	1.18	9.14	3.00	3.55	3.62	0.5	0.4	999.0
557	Nick Dean	CHC	15	16	65.2	4	4		0	0	66	33	10	53	21	1.32	7.26	2.88	4.52	4.51	0.5	0.5	999.0
558	Bryce Mayer	HOU	14	19	77.1	4	5		0	0	75	40	12	66	24	1.28	7.68	2.79	4.66	4.65	0.5	0.4	999.0
559	Blake Beers	ATH	17	22	89.2	4	6		0	0	93	48	13	66	31	1.38	6.62	3.11	4.82	4.85	0.5	0.4	999.0
560	Bryan Baker	TBR	0	61	59.1	4	3		3	12	50	26	8	65	21	1.20	9.87	3.19	3.95	3.81	0.5	0.3	999.0
561	Luis De León	BAL	18	21	87.0	4	4		0	0	86	46	11	72	41	1.46	7.45	4.24	4.76	4.74	0.5	0.3	999.0
562	Domingo Robles	ATH	11	20	74.2	4	5		0	0	78	39	10	51	25	1.38	6.14	3.01	4.70	4.67	0.5	0.4	999.0
563	Levi Wells	BAL	21	24	87.2	3	5		0	0	90	47	12	67	34	1.41	6.88	3.49	4.82	4.75	0.5	0.2	999.0
564	Jason Alexander	HOU	20	25	110.0	5	5		0	1	117	57	17	83	38	1.41	6.79	3.11	4.66	4.84	0.5	0.5	999.0
565	Brandon Leibrandt	CIN	11	14	56.1	2	2		0	0	61	31	9	43	17	1.39	6.87	2.72	4.96	4.70	0.5	0.3	999.0
566	Trey Dombroski	HOU	16	24	102.0	7	8		0	0	104	53	16	83	39	1.40	7.32	3.44	4.68	4.78	0.5	0.4	999.0
567	Ryan Burr	TOR	2	36	36.1	2	2		0	0	32	14	4	41	13	1.24	10.17	3.22	3.47	3.38	0.5	0.5	999.0
568	Jose Corniell	TEX	19	20	52.1	3	3		0	1	48	27	8	49	17	1.24	8.43	2.93	4.65	4.40	0.5	0.3	999.0
569	Angel Zerpa	MIL	5	56	67.0	4	3		0	12	62	28	8	61	21	1.24	8.19	2.82	3.76	3.94	0.5	0.7	999.0
570	Brenan Hanifee	DET	4	50	68.1	3	3		0	11	70	30	7	49	18	1.29	6.46	2.37	3.95	3.96	0.5	0.5	999.0
