,Name,HR,HR,R,R,RBI,RBI,SB,SB,OBP,OBP,HR_sharpe,HR,HR,R_sharpe,R,R,RBI_sharpe,RBI,RBI,SB_sharpe,SB,SB,OBP_sharpe,OBP,OBP,Total_sharpe,POS,Salary
,,mean,std,mean,std,mean,std,mean,std,mean,std,,low,high,,low,high,,low,high,,low,high,,low,high,,,
302,Oswald Peraza,7.75,1.4880476182856899,31.375,5.95069023607466,27.875,5.276294695549683,10.75,2.9154759474226504,0.284875,0.008526220063511647,2.5200806438709265,3.2858571451429306,12.21414285485707,2.0053696058635966,13.52292929177602,49.22707070822398,1.8084029071982342,12.046115913350953,43.70388408664905,2.057983021710106,2.003572157732048,19.496427842267952,-2.712221808461702,0.25929633980946504,0.31045366019053494,5.679614370181159,1B/2B/3B,1.0
307,Blaze Alexander,7.0,1.7728105208558365,32.375,7.781617532915083,29.5,9.039595439746499,5.5,1.1952286093343936,0.307125,0.010466784197095659,1.692228224453299,1.6815684374324906,12.31843156256751,1.6620366239573354,9.030147401254752,55.71985259874525,1.2353060201751485,2.381213680760503,56.6187863192395,0.6274950199005567,1.9143141719968195,9.08568582800318,-0.08359778739326747,0.275724647408713,0.33852535259128697,5.133468101093072,2B/3B,1.0
313,Edmundo Sosa,7.25,0.7071067811865476,29.0,3.0705978943149534,28.875,2.900123150094542,3.0,0.5345224838248488,0.29574999999999996,0.0033700360320244164,4.596194077712559,5.128679656440357,9.371320343559642,3.112857385537238,19.788206317055142,38.21179368294486,3.6349031131050475,20.174630549716376,37.575369450283624,-3.2739502134271987,1.3964325485254536,4.603567451474547,-3.634975971648984,0.2856398919039267,0.3058601080960732,4.43502839127866,2B/3B/SS,1.0
326,Sung-Mun Song,6.75,2.5495097567963927,33.375,13.026758175825195,31.375,11.249603167604244,5.875,2.2320714274285347,0.2975,0.012142016777643289,1.078638743260012,-0.8985292703891776,14.398529270389178,1.0695933052008753,-5.705274527475588,72.45527452747558,1.159300152402093,-2.3738095028127333,65.12380950281273,0.5040161287741853,-0.8212142822856041,12.571214282285604,-0.8647657298030857,0.2610739496670701,0.3339260503329299,2.946782599834079,2B/3B,1.0
327,Otto Kemp,7.75,3.412163117856053,32.75,17.523453671335126,32.5,18.40807276325099,4.5,1.8516401995451028,0.311,0.007309485031694885,1.0990095931744959,-2.4864893535681585,17.98648935356816,0.7594583569506719,-19.82036101400538,85.32036101400539,0.7695898885704285,-22.72421828975297,87.72421828975297,-0.13501543121683043,-1.0549205986353085,10.05492059863531,0.4104256301219046,0.2890715449049153,0.3329284550950847,2.9034680376006703,1B/3B,1.0
339,Ben Williamson,3.25,1.2817398889233114,31.875,13.346347815039138,27.75,11.707750790456235,5.875,2.5319388392523003,0.31275,0.011093756287724568,-0.5851421232041205,-0.5952196667699341,7.095219666769934,0.9315906872532629,-8.164043445117414,71.91404344511741,0.8043104807409138,-7.373252371368707,62.87325237136871,0.4443235288938577,-1.7208165177569015,13.470816517756901,0.4281687714066635,0.27946873113682624,0.3460312688631737,2.023251345090577,3B,1.0
341,Amed Rosario,4.75,1.0350983390135313,28.25,5.922113522335466,27.625,7.963084470587655,5.375,1.3024701806293193,0.29725,0.005700877125495692,0.724568837309472,1.6447049829594063,7.855295017040594,1.487363134818751,10.483659432993601,46.016340567006395,1.1668426601508808,3.735746588237035,51.514253411762965,0.47985743496869654,1.467589458112042,9.282410541887959,-1.885674741510109,0.2801473686235129,0.3143526313764871,1.9729573257376913,2B/3B,1.0
345,Javier Sanoja,3.875,1.3562026818605375,28.25,10.498299181976371,26.5,11.173949295443526,6.375,2.065879266282796,0.306125,0.004940720016932185,-0.09216911430120157,-0.1936080455816125,7.9436080455816125,0.8390247963646974,-3.2448975459291134,59.74489754592911,0.7308666301176829,-7.021847886330576,60.021847886330576,0.7865900135219013,0.1773622011516114,12.572637798848389,-0.37949934292456616,0.2913028399492034,0.32094716005079654,1.8848129827785138,2B/3B/OF,1.0
371,Darell Hernaiz,2.875,1.7268882005337975,24.5,16.509737386507048,21.875,16.260710755859176,4.125,2.416461403433896,0.315125,0.007972049386987737,-0.6514608181654445,-2.305664601601393,8.055664601601393,0.30638484519247594,-25.029212159521144,74.02921215952114,0.2178051574646274,-26.907132267577524,70.65713226757752,-0.2586426578598971,-3.124384210301688,11.374384210301688,0.8937475991593418,0.2912088518390368,0.3390411481609632,0.5078341257911034,3B/SS,1.0
372,Alex Freeland,5.0,5.0142653642240695,21.875,21.616379371737008,19.25,19.890773166040006,4.25,4.0970372570571385,0.3105,0.009636241116594323,0.19943100880436643,-10.042796092672209,20.04279609267221,0.11256895946760305,-42.97413811521102,86.72413811521102,0.04608501937127888,-40.42231949812002,78.92231949812002,-0.12203940765702118,-8.041111771171416,16.541111771171416,0.25943726083138546,0.28159127665021705,0.33940872334978295,0.4954828408176126,2B/3B,1.0
