,Name,W,W,SO,SO,SVHLD,SVHLD,WHIP,WHIP,ERA,ERA,Team,W_sharpe,W,W,SO_sharpe,SO,SO,WHIP_sharpe,WHIP,WHIP,ERA_sharpe,ERA,ERA,SVHLD_sharpe,SVHLD,SVHLD,Total_sharpe
,,mean,std,mean,std,mean,std,mean,std,mean,std,,,low,high,,low,high,,low,high,,low,high,,low,high,
19,Kody Funderburk (MIN),3.5,0.5345224838248489,60.125,3.681517544243329,17.875,0.35355339059327334,1.34375,0.01597989808656938,3.82625,0.08140507179706762,MIN,-1.6837458240482606,1.8964325485254534,5.103567451474547,-1.9013898252218506,49.08044736727001,71.16955263272999,-4.90124706347503,1.3916896942597081,1.2958103057402919,1.1158190924487992,4.070465215391203,3.582034784608797,18.031222920256983,16.81433982822018,18.93566017177982,82.78555098098857
20,Robert Garcia (TEX),4.375,1.5059406173077154,67.625,3.461523198989552,25.5,0.9258200997725518,1.21125,0.03270539492412321,3.63625,0.1909328603013562,TEX,-0.01660092019078923,-0.14282185192314678,8.892821851923147,0.14444508132892311,57.24043040303134,78.00956959696866,1.6565637429013278,1.3093661847723697,1.1131338152276302,1.4708486160532237,4.209048580904069,3.0634514190959314,15.121728296285003,22.722539700682344,28.277460299317656,78.8638980015177
21,Riley O'Brien (STL),2.875,0.6408699444616559,64.125,2.7483761439387138,24.5,0.7559289460184548,1.3375000000000001,0.012817398889233117,3.79125,0.18535198176134263,STL,-2.3795779676967452,0.9523901666150323,4.797609833384968,-1.0915536458196302,55.87987156818386,72.37012843181614,-5.622937164885308,1.3759521966676995,1.2990478033323007,0.6788885240803911,4.3473059452840275,3.235194054715972,17.19738352191983,22.232213161944635,26.767786838055365,77.57173735527785
22,Ryan Helsley (BAL),4.0,1.0690449676496976,71.25,4.62137889132052,29.875,1.3562026818605364,1.19125,0.02100170061141302,3.43,0.20283702113484403,BAL,-0.3741657386773878,0.7928650970509072,7.207134902949093,0.8925907390426748,57.38586332603844,85.11413667396155,3.5320268963486012,1.254255101834239,1.128244898165761,2.4013532175150853,4.038511063404532,2.8214889365954683,13.548859802276644,25.80639195441839,33.94360804558161,74.19610412561218
23,Juan Mejia (COL),2.875,0.6408699444616559,68.0,1.9999999999999998,17.0,0.0,1.4224999999999999,0.039910614413425645,4.5625,0.12139075041251807,COL,-2.3795779676967452,0.9523901666150323,4.797609833384968,0.43750000000000006,62.0,74.0,-3.9355803181669535,1.5422318432402768,1.302768156759723,-5.316852103421136,4.926672251237554,4.198327748762446,17.0,17.0,17.0,73.80548961071516
24,Seranthony Dominguez (CHW),3.25,0.8864052604279183,67.75,3.8821937833431983,26.75,1.0350983390135313,1.28875,0.024748737341529152,3.89125,0.1722487818741917,CHW,-1.2973749720808547,0.5907842187162449,5.909215781283756,0.1609914483613885,56.10341864997041,79.39658135002959,-0.9423280165608453,1.3629962120245875,1.2145037879754126,0.14997687096679563,4.407996345622575,3.374503654377425,14.732899691959263,23.644704982959407,29.855295017040593,71.73576379048279
25,Mason Montgomery (PIT),3.125,0.6408699444616557,68.625,8.8952234373286,14.0,0.0,1.28375,0.045650066499716896,3.7375,0.2795787647770941,PIT,-1.9894832188939993,1.202390166615033,5.047609833384967,0.16862982819580277,41.9393296880142,95.3106703119858,-0.4013450576581745,1.4207001994991506,1.1467998005008493,0.6423353843648096,4.576236294331282,2.8987637056687174,14.0,14.0,14.0,68.42013693600845
26,Zach Eflin (BAL),9.5,0.5773502691896257,120.75,0.9574271077563381,1.0,0.0,1.24,0.02449489742783177,4.315,0.15588457268119899,BAL,8.833459118601287,7.767949192431123,11.232050807568877,56.00948580374578,117.87771867673098,123.62228132326902,1.0381170814652583,1.3134846922834953,1.1665153077165047,-2.5526366068337647,4.782653718043598,3.8473462819564035,1.0,1.0,1.0,68.32842539697857
27,Jhoan Duran (PHI),5.875,2.6423744732991303,79.75,6.341473465550866,33.375,1.9226098333849688,1.10375,0.0324862608321909,2.775,0.36327872022928714,PHI,0.5582100549731692,-2.0521234198973914,13.802123419897391,1.9908622291938112,60.7255796033474,98.7744203966526,4.976829197540732,1.2012087824965727,1.0062912175034273,3.1438211756870746,3.8648361606878616,1.6851638393121384,11.377763506746778,27.607170499845093,39.1428295001549,67.55854019112867
28,Kenley Jansen (DET),3.375,1.0606601717798212,56.625,5.44944295973713,26.375,1.060660171779821,1.2137499999999999,0.03420004177106892,4.03625,0.09164177151121777,DET,-0.9663792676216086,0.1930194846605362,6.556980515339464,-1.9268024415667062,40.276671120788606,72.9733288792114,1.5110674944347144,1.3163501253132066,1.1111498746867932,-1.3003531544791185,4.311175314533653,3.7613246854663465,14.024284493533196,23.19301948466054,29.55698051533946,67.43895509843327
29,Cole Winn (TEX),3.125,0.3535533905932738,56.375,3.0676887530703447,16.0,0.0,1.3912499999999999,0.034820970692960154,4.42875,0.22459089792013295,TEX,-3.606244584051373,2.0643398282201786,4.185660171779821,-3.5042668488583444,47.171933740788965,65.57806625921103,-3.613380846871852,1.4957129120788804,1.2867870879211194,-2.278216398816933,5.102522693760399,3.754977306239601,16.0,16.0,16.0,66.9978913214015
