,Name,W,W,SO,SO,WHIP,WHIP,ERA,ERA,W_sharpe,W,W,SO_sharpe,SO,SO,WHIP_sharpe,WHIP,WHIP,ERA_sharpe,ERA,ERA,Total_sharpe
57,Cody Ponce,8.0,0.9258200997725514,148.5,11.122692377040995,1.23625,0.014078859531733602,4.06375,0.08830749846821771,1.2961481396815906,5.222539700682345,10.777460299317655,4.720080194644989,115.13192286887701,181.868077131123,3.10749602277002,1.2784865785952009,1.1940134214047993,0.9767007501751664,4.3286724954046525,3.7988275045953466,10.100425107271764
59,Merrill Kelly,9.875,0.8345229603962803,143.75,8.379396500601084,1.27125,0.026958963523950916,4.11125,0.25039611475762613,3.68473984051898,7.371431118811159,12.37856888118884,5.698501078994737,118.61181049819675,168.88818950180325,0.32456737412127695,1.3521268905718526,1.1903731094281473,0.15475479736380415,4.862438344272879,3.3600616557271215,9.862563090998798
61,Shane Smith,8.0,0.7559289460184543,146.5,5.952190473142758,1.28,0.05099019513592789,4.265,0.17386365758424457,1.5874507866387773,5.732213161944637,10.267786838055363,8.484271501032122,128.64342858057174,164.35657141942826,-0.0,1.4329705854077837,1.1270294145922164,-0.6614378277661436,4.786590972752734,3.743409027247266,9.410284459904757
62,Cam Schlittler,8.375,0.5175491695067655,126.25,6.135377506140688,1.2725,0.02187627547301939,3.9924999999999997,0.16333576285850995,3.0431891166998155,6.822352491479704,9.927647508520296,4.930421961765811,107.84386748157795,144.65613251842205,0.3428371529353805,1.338128826419058,1.2068711735809419,0.9642713710924131,4.48250728857553,3.5024927114244697,9.280719602493422
63,Bailey Ober,8.0,0.7559289460184544,136.25,6.158617655657106,1.21875,0.026423744732991365,4.4037500000000005,0.19776880441566125,1.587450786638777,5.732213161944637,10.267786838055363,6.5355575310033505,117.77414703302868,154.72585296697133,2.3179909062445017,1.298021234198974,1.139478765801026,-1.283063831779456,4.997056413246984,3.8104435867530166,9.157935392107174
66,Kodai Senga,8.25,0.4629100498862759,133.25,5.338539126015653,1.31875,0.018077215335491167,3.95125,0.18129986998655806,3.1323580042305017,6.861269850341173,9.638730149658828,6.9775642962836235,117.23438262195305,149.26561737804695,-2.1435823649188834,1.3729816460064737,1.2645183539935265,1.0962500966753927,4.495149609959674,3.4073503900403255,9.062590032270634
69,Tyler Glasnow,8.25,1.9820624179302295,148.5,12.455635557564177,1.1949999999999998,0.04000000000000002,3.75875,0.24280724277265123,0.7315612197088025,2.303812746209312,14.196187253790688,4.214959546413294,111.13309332730748,185.86690667269252,2.1250000000000036,1.315,1.0749999999999997,1.6113604995150048,4.4871717283179535,3.0303282716820465,8.682881265637103
71,Spencer Schwellenbach,5.375,1.1877349391654208,77.125,19.599107122519634,1.11875,0.0360307408432616,3.53875,0.10034761012173064,-1.1997626347518915,1.8117951825037375,8.938204817496263,-0.9630540759845317,18.3276786324411,135.9223213675589,4.475345114369381,1.2268422225297848,1.010657777470215,6.091325934504066,3.839792830365192,3.237707169634808,8.403854338137023
72,Emmet Sheehan,8.75,1.7525491637693285,155.375,24.709382255098397,1.16875,0.032705394924123055,3.83875,0.21576690465142492,1.112664934207048,3.492352508692015,14.007647491307985,2.4029334034746617,81.24685323470482,229.50314676529518,3.401579472074914,1.2668661847723692,1.0706338152276307,1.4425289202847391,4.486050713954275,3.1914492860457253,8.359706730041363
73,Justin Steele,5.625,1.0606601717798212,78.875,17.42278885335443,1.17875,0.02642374473299132,3.5825,0.08779033464535176,-1.1078006238589084,2.443019484660536,8.806980515339465,-0.9829080834382553,26.606633439936715,131.14336656006327,3.8317808858327544,1.2580212341989738,1.099478765801026,6.464265141402418,3.8458710039360553,3.3191289960639447,8.205337319938009
74,Bryce Miller,8.625,0.9161253813129042,122.625,6.9885109797642695,1.21125,0.03181980515339468,4.125,0.21132236714825714,1.9920854036208446,5.876623856061287,11.373376143938714,3.809824450028709,101.65946706070719,143.5905329392928,2.160604053625562,1.306709415460184,1.115790584539816,0.11830266874902617,4.758967101444771,3.4910328985552286,8.08081657602414
75,Ryne Nelson,8.875,0.8345229603962799,133.75,8.413424646700905,1.25,0.035456210417116774,4.1625,0.21184563112930047,2.4864504614884253,6.37143111881116,11.37856888118884,4.486876817135651,108.50972605989728,158.99027394010272,0.8461141122266491,1.3563686312513503,1.1436313687486497,-0.059005229106518065,4.798036893387901,3.526963106612098,7.760436161744208
76,Tatsuya Imai,8.125,1.125991626459603,152.625,7.927123419897389,1.3075,0.0645312770235156,4.20375,0.19010805198247493,1.1767405448352628,4.747025120621191,11.502974879378808,7.143196466182051,128.84362974030785,176.40637025969215,-0.4261499426081233,1.5010938310705468,1.1139061689294534,-0.28273394756027953,4.774074155947425,3.6334258440525753,7.61105312084891
77,Jose Soriano,10.375,0.7440238091428449,154.25,12.85912683105439,1.3525,0.019820624179302273,3.86625,0.14822160050796518,4.804953760980589,8.142928572571465,12.607071427428535,4.529856557548532,115.67261950683684,192.82738049316316,-3.657806098543974,1.4119618725379068,1.2930381274620932,1.9143633520861363,4.310914801523896,3.4215851984761043,7.5913675720712845
81,Parker Messick,7.375,0.5175491695067657,116.25,3.535533905932739,1.28875,0.023566016694748008,4.085,0.11795883059053122,1.1110055505412233,5.822352491479704,8.927647508520296,5.7275649276110325,105.64339828220179,126.85660171779821,-0.3712973691455496,1.359448050084244,1.218051949915756,0.5510397116908861,4.438876491771594,3.731123508228406,7.018312820697592
82,Casey Mize,8.5,0.7559289460184544,123.25,6.649382355849731,1.26375,0.019226098333849733,4.165,0.07982122882685141,2.2488886144049247,6.232213161944637,10.767786838055363,4.098124989913848,103.3018529324508,143.1981470675492,0.8452052890726208,1.321428295001549,1.2060717049984508,-0.1879199333367537,4.404463686480554,3.9255363135194457,7.004298960054641
83,Matthew Liberatore,8.375,0.5175491695067659,124.25,5.897941529526577,1.29375,0.02924648941081897,4.25125,0.23978785266504712,3.0431891166998137,6.822352491479702,9.927647508520298,4.78980672469766,106.55617541142027,141.94382458857973,-0.4701418965830982,1.3814894682324568,1.2060105317675431,-0.42224824516624976,4.970613557995141,3.5318864420048586,6.940605699648125
